                    *********************************************************************************
                    *  Z= 20 A= 41: Positive-Parity Spin-dependent Level Density [MeV-1] for CA 41  *
  12.00  1.794  1.36E+03 6.02E+02 6.85E+03 3.27E+01 6.42E+01 7.22E+01 7.67E+01 6.48E+01 7.75E+01 5.43E+01 4.13E+01 3.69E+01 3.16E+01 2.07E+01 1.55E+01 7.59E+00 3.57E+00 1.18E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  1.868  2.10E+03 8.67E+02 1.05E+04 7.17E+01 6.66E+01 9.30E+01 1.16E+02 8.36E+01 8.04E+01 7.60E+01 7.25E+01 5.02E+01 5.40E+01 3.81E+01 2.57E+01 1.65E+01 1.21E+01 7.37E+00 2.63E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  1.938  3.22E+03 1.39E+03 1.76E+04 1.42E+02 1.25E+02 1.02E+02 1.69E+02 1.22E+02 1.03E+02 1.15E+02 1.21E+02 8.90E+01 9.24E+01 6.33E+01 4.00E+01 3.31E+01 2.60E+01 1.48E+01 1.24E+01 6.92E+00 6.18E+00 2.26E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  2.006  4.73E+03 1.63E+03 2.21E+04 1.44E+02 1.23E+02 1.05E+02 1.91E+02 1.31E+02 1.18E+02 1.63E+02 1.50E+02 1.15E+02 9.89E+01 7.80E+01 5.98E+01 3.89E+01 3.71E+01 2.40E+01 1.92E+01 1.48E+01 9.88E+00 4.97E+00 2.22E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  16.00  2.072  6.48E+03 1.87E+03 2.66E+04 1.47E+02 1.20E+02 1.07E+02 2.13E+02 1.40E+02 1.33E+02 2.12E+02 1.79E+02 1.41E+02 1.05E+02 9.27E+01 7.96E+01 4.47E+01 4.82E+01 3.31E+01 2.59E+01 2.27E+01 1.36E+01 7.68E+00 3.73E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  2.136  8.47E+03 2.11E+03 3.11E+04 1.49E+02 1.18E+02 1.10E+02 2.35E+02 1.49E+02 1.48E+02 2.60E+02 2.07E+02 1.67E+02 1.12E+02 1.07E+02 9.94E+01 5.05E+01 5.93E+01 4.23E+01 3.27E+01 3.05E+01 1.73E+01 1.04E+01 5.24E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  2.198  1.07E+04 2.35E+03 3.56E+04 1.51E+02 1.15E+02 1.13E+02 2.57E+02 1.58E+02 1.63E+02 3.08E+02 2.36E+02 1.93E+02 1.18E+02 1.22E+02 1.19E+02 5.63E+01 7.04E+01 5.15E+01 3.94E+01 3.84E+01 2.10E+01 1.31E+01 6.75E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  2.258  1.32E+04 2.59E+03 4.01E+04 1.53E+02 1.13E+02 1.16E+02 2.78E+02 1.67E+02 1.78E+02 3.57E+02 2.64E+02 2.19E+02 1.25E+02 1.37E+02 1.39E+02 6.21E+01 8.15E+01 6.06E+01 4.61E+01 4.63E+01 2.47E+01 1.58E+01 8.25E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  2.316  1.59E+04 2.83E+03 4.46E+04 1.56E+02 1.10E+02 1.18E+02 3.00E+02 1.76E+02 1.93E+02 4.05E+02 2.93E+02 2.45E+02 1.32E+02 1.52E+02 1.59E+02 6.79E+01 9.27E+01 6.98E+01 5.29E+01 5.41E+01 2.84E+01 1.85E+01 9.76E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  2.457  2.37E+04 3.43E+03 5.58E+04 1.62E+02 1.04E+02 1.25E+02 3.55E+02 1.98E+02 2.30E+02 5.26E+02 3.64E+02 3.10E+02 1.48E+02 1.88E+02 2.08E+02 8.24E+01 1.20E+02 9.27E+01 6.97E+01 7.38E+01 3.76E+01 2.53E+01 1.35E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  2.590  3.31E+04 4.04E+03 6.71E+04 1.67E+02 9.79E+01 1.32E+02 4.09E+02 2.21E+02 2.67E+02 6.47E+02 4.36E+02 3.75E+02 1.64E+02 2.25E+02 2.58E+02 9.69E+01 1.48E+02 1.16E+02 8.66E+01 9.35E+01 4.69E+01 3.21E+01 1.73E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  2.837  5.63E+04 5.24E+03 8.96E+04 1.79E+02 8.54E+01 1.46E+02 5.18E+02 2.66E+02 3.42E+02 8.88E+02 5.79E+02 5.06E+02 1.97E+02 2.99E+02 3.57E+02 1.26E+02 2.04E+02 1.62E+02 1.20E+02 1.33E+02 6.54E+01 4.56E+01 2.48E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  3.276  1.21E+05 7.65E+03 1.35E+05 2.02E+02 6.05E+01 1.74E+02 7.37E+02 3.55E+02 4.92E+02 1.37E+03 8.64E+02 7.66E+02 2.62E+02 4.46E+02 5.55E+02 1.84E+02 3.15E+02 2.53E+02 1.88E+02 2.12E+02 1.02E+02 7.27E+01 3.99E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  3.663  2.09E+05 1.01E+04 1.80E+05 2.25E+02 3.55E+01 2.01E+02 9.55E+02 4.45E+02 6.42E+02 1.85E+03 1.15E+03 1.03E+03 3.28E+02 5.93E+02 7.53E+02 2.42E+02 4.26E+02 3.45E+02 2.55E+02 2.90E+02 1.39E+02 9.98E+01 5.50E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  4.012  3.23E+05 1.26E+04 2.27E+05 2.48E+02 1.05E+01 2.29E+02 1.17E+03 5.35E+02 7.91E+02 2.51E+03 1.44E+03 1.29E+03 3.93E+02 7.40E+02 9.51E+02 3.00E+02 5.37E+02 4.37E+02 3.23E+02 3.69E+02 1.76E+02 1.27E+02 7.01E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  4.334  4.64E+05 1.56E+04 2.80E+05 2.72E+02 0.00E+00 2.56E+02 1.39E+03 6.24E+02 9.41E+02 3.39E+03 1.79E+03 1.61E+03 4.58E+02 8.87E+02 1.15E+03 3.58E+02 6.48E+02 5.28E+02 3.90E+02 4.48E+02 2.13E+02 1.54E+02 8.52E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  4.633  6.37E+05 1.91E+04 3.41E+05 2.95E+02 0.00E+00 2.84E+02 1.65E+03 7.14E+02 1.09E+03 4.59E+03 2.24E+03 2.02E+03 5.24E+02 1.03E+03 1.35E+03 4.16E+02 7.59E+02 6.20E+02 4.57E+02 5.26E+02 2.50E+02 1.81E+02 1.00E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  4.914  8.50E+05 2.33E+04 4.12E+05 3.18E+02 0.00E+00 3.11E+02 1.96E+03 8.04E+02 1.24E+03 6.20E+03 2.79E+03 2.54E+03 5.89E+02 1.18E+03 1.58E+03 4.74E+02 8.70E+02 7.12E+02 5.25E+02 6.05E+02 2.87E+02 2.08E+02 1.15E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  5.180  1.11E+06 2.85E+04 4.98E+05 3.41E+02 0.00E+00 3.39E+02 2.32E+03 8.93E+02 1.41E+03 8.39E+03 3.49E+03 3.18E+03 6.54E+02 1.35E+03 1.85E+03 5.32E+02 9.81E+02 8.03E+02 5.92E+02 6.84E+02 3.24E+02 2.35E+02 1.30E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  5.433  1.43E+06 3.50E+04 6.03E+05 3.64E+02 0.00E+00 3.66E+02 2.75E+03 9.83E+02 1.60E+03 1.13E+04 4.35E+03 3.99E+03 7.20E+02 1.54E+03 2.17E+03 5.90E+02 1.09E+03 8.95E+02 6.60E+02 7.62E+02 3.61E+02 2.62E+02 1.45E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  5.674  1.82E+06 4.31E+04 7.33E+05 3.87E+02 0.00E+00 3.94E+02 3.27E+03 1.07E+03 1.82E+03 1.53E+04 5.44E+03 5.00E+03 7.85E+02 1.76E+03 2.55E+03 6.48E+02 1.20E+03 9.87E+02 7.27E+02 8.41E+02 3.98E+02 2.90E+02 1.61E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  5.906  2.30E+06 5.33E+04 8.95E+05 4.10E+02 0.00E+00 4.22E+02 3.87E+03 1.16E+03 2.07E+03 2.08E+04 6.79E+03 6.27E+03 8.50E+02 2.01E+03 2.98E+03 7.06E+02 1.33E+03 1.08E+03 7.94E+02 9.20E+02 4.35E+02 3.17E+02 1.76E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  6.129  2.90E+06 6.65E+04 1.10E+06 4.34E+02 0.00E+00 4.49E+02 4.59E+03 1.26E+03 2.36E+03 2.81E+04 8.47E+03 7.85E+03 9.16E+02 2.30E+03 3.50E+03 7.64E+02 1.46E+03 1.17E+03 8.62E+02 9.98E+02 4.72E+02 3.44E+02 1.91E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  6.344  3.65E+06 8.33E+04 1.36E+06 4.57E+02 0.00E+00 4.77E+02 5.45E+03 1.36E+03 2.68E+03 3.80E+04 1.06E+04 9.85E+03 9.81E+02 2.62E+03 4.10E+03 8.22E+02 1.61E+03 1.27E+03 9.29E+02 1.08E+03 5.09E+02 3.71E+02 2.06E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  6.552  4.59E+06 1.05E+05 1.69E+06 4.80E+02 0.00E+00 5.04E+02 6.46E+03 1.48E+03 3.05E+03 5.13E+04 1.32E+04 1.23E+04 1.05E+03 3.00E+03 4.81E+03 8.80E+02 1.77E+03 1.38E+03 9.97E+02 1.16E+03 5.46E+02 3.98E+02 2.21E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  6.753  5.78E+06 1.33E+05 2.12E+06 5.03E+02 0.00E+00 5.32E+02 7.66E+03 1.60E+03 3.47E+03 6.94E+04 1.65E+04 1.55E+04 1.11E+03 3.42E+03 5.64E+03 9.38E+02 1.95E+03 1.49E+03 1.06E+03 1.24E+03 5.83E+02 4.25E+02 2.36E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  6.949  7.30E+06 1.70E+05 2.67E+06 5.26E+02 0.00E+00 5.59E+02 9.09E+03 1.74E+03 3.95E+03 9.39E+04 2.06E+04 1.94E+04 1.18E+03 3.91E+03 6.61E+03 9.96E+02 2.15E+03 1.62E+03 1.13E+03 1.33E+03 6.20E+02 4.52E+02 2.51E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  7.140  9.24E+06 2.18E+05 3.39E+06 5.49E+02 0.00E+00 5.87E+02 1.08E+04 1.88E+03 4.49E+03 1.27E+05 2.57E+04 2.43E+04 1.25E+03 4.47E+03 7.75E+03 1.05E+03 2.37E+03 1.76E+03 1.20E+03 1.43E+03 6.57E+02 4.79E+02 2.66E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  7.325  1.17E+07 2.81E+05 4.32E+06 5.73E+02 0.00E+00 6.14E+02 1.28E+04 2.04E+03 5.10E+03 1.72E+05 3.21E+04 3.05E+04 1.33E+03 5.10E+03 9.08E+03 1.11E+03 2.61E+03 1.91E+03 1.28E+03 1.53E+03 6.94E+02 5.06E+02 2.81E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 20 A= 43: Positive-Parity Spin-dependent Level Density [MeV-1] for CA 43  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.253  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.358  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.438  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.506  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.565  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.619  1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
