                    *********************************************************************************
                    *  Z= 36 A= 84: Positive-Parity Spin-dependent Level Density [MeV-1] for KR 84  *
 200.00  5.118  1.73E+42 3.38E+41 5.52E+42 3.90E+38 3.26E+38 8.49E+38 9.19E+38 2.00E+39 3.91E+39 1.34E+40 4.72E+40 2.69E+41 4.70E+14 5.36E+14 5.56E+14 5.74E+14 5.30E+14 5.00E+14 4.17E+14 3.32E+14 2.32E+14 1.60E+14 9.46E+13 5.79E+13 3.28E+13 2.18E+13 1.43E+29 2.73E+22 8.90E+15 6.25E+09 2.24E+06 4.36E+04 4.45E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 36 A= 79: Positive-Parity Spin-dependent Level Density [MeV-1] for KR 79  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.187  1.00E+00 3.00E+00 2.40E+01 0.00E+00 0.00E+00 1.00E+00 1.00E+00 1.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.264  2.00E+00 2.50E+00 2.00E+01 0.00E+00 0.00E+00 8.33E-01 8.33E-01 8.33E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.323  2.00E+00 3.60E+00 3.18E+01 0.00E+00 0.00E+00 1.43E+00 7.14E-01 7.14E-01 2.72E-02 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.373  4.00E+00 5.90E+00 4.90E+01 7.14E-01 7.14E-01 7.14E-01 7.14E-01 1.59E+00 7.41E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.417  5.00E+00 7.38E+00 5.94E+01 7.14E-01 7.14E-01 1.48E+00 1.43E+00 1.59E+00 7.41E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.457  7.00E+00 1.11E+01 8.18E+01 1.43E+00 1.43E+00 2.91E+00 1.56E+00 1.59E+00 1.46E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.494  1.20E+01 2.52E+01 1.90E+02 3.57E+00 4.29E+00 4.57E+00 3.59E+00 4.44E+00 2.42E+00 1.63E+00 0.00E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.528  2.00E+01 4.06E+01 3.60E+02 4.29E+00 5.00E+00 5.85E+00 5.74E+00 7.93E+00 4.96E+00 3.06E+00 1.43E+00 8.99E-01 7.14E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.25  0.560  3.10E+01 4.84E+01 4.51E+02 5.00E+00 6.43E+00 6.56E+00 5.23E+00 8.49E+00 6.11E+00 3.77E+00 2.37E+00 3.04E+00 7.14E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.590  4.40E+01 5.23E+01 4.93E+02 5.00E+00 6.52E+00 6.68E+00 6.66E+00 9.20E+00 6.21E+00 4.49E+00 3.08E+00 3.04E+00 7.14E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.619  5.80E+01 6.08E+01 5.77E+02 5.71E+00 6.52E+00 7.34E+00 7.37E+00 1.13E+01 1.05E+01 4.49E+00 3.08E+00 3.04E+00 7.14E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.646  7.40E+01 6.99E+01 6.73E+02 7.86E+00 5.52E+00 6.66E+00 9.98E+00 1.42E+01 1.12E+01 4.49E+00 4.08E+00 4.47E+00 7.14E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.673  9.70E+01 1.12E+02 1.09E+03 1.01E+01 1.27E+01 1.34E+01 1.62E+01 1.43E+01 1.91E+01 8.57E+00 6.94E+00 5.18E+00 3.07E+00 1.71E+00 0.00E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.698  1.30E+02 1.48E+02 1.45E+03 1.36E+01 1.85E+01 2.13E+01 1.76E+01 1.86E+01 1.96E+01 1.43E+01 9.80E+00 6.60E+00 3.78E+00 3.14E+00 7.14E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.723  1.72E+02 1.92E+02 1.86E+03 1.73E+01 2.49E+01 2.63E+01 2.97E+01 1.86E+01 2.39E+01 2.00E+01 1.03E+01 9.39E+00 6.29E+00 3.85E+00 7.14E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.746  2.30E+02 2.69E+02 2.62E+03 2.45E+01 3.87E+01 3.40E+01 3.84E+01 2.93E+01 3.17E+01 2.67E+01 1.39E+01 1.58E+01 7.72E+00 5.58E+00 1.43E+00 1.43E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.769  3.16E+02 4.20E+02 4.49E+03 2.60E+01 4.78E+01 5.78E+01 5.99E+01 4.67E+01 4.60E+01 4.39E+01 2.89E+01 2.22E+01 1.41E+01 1.06E+01 5.71E+00 5.75E+00 2.14E+00 1.43E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.792  4.35E+02 5.30E+02 6.01E+03 2.60E+01 5.85E+01 6.96E+01 6.78E+01 5.95E+01 5.75E+01 5.53E+01 4.04E+01 2.72E+01 2.25E+01 1.84E+01 9.29E+00 9.32E+00 3.57E+00 2.49E+00 1.43E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.813  5.88E+02 6.94E+02 7.98E+03 4.38E+01 7.66E+01 7.87E+01 8.10E+01 8.31E+01 6.64E+01 7.31E+01 5.68E+01 4.30E+01 2.89E+01 2.24E+01 1.57E+01 1.15E+01 6.23E+00 4.63E+00 1.43E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.834  7.80E+02 8.49E+02 9.55E+03 5.63E+01 9.08E+01 1.05E+02 9.95E+01 9.88E+01 9.21E+01 8.81E+01 6.75E+01 4.71E+01 3.36E+01 2.53E+01 1.79E+01 1.29E+01 6.95E+00 4.63E+00 1.43E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.875  1.36E+03 1.49E+03 1.72E+04 9.37E+01 1.27E+02 1.60E+02 1.79E+02 2.00E+02 1.66E+02 1.53E+02 1.27E+02 9.57E+01 6.64E+01 5.06E+01 3.15E+01 1.72E+01 1.07E+01 7.49E+00 2.14E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.914  2.42E+03 2.74E+03 3.33E+04 1.82E+02 1.90E+02 2.43E+02 3.04E+02 3.54E+02 3.31E+02 2.96E+02 2.41E+02 1.91E+02 1.40E+02 1.01E+02 6.64E+01 4.43E+01 2.57E+01 1.21E+01 7.04E+00 5.57E+00 1.43E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.951  4.28E+03 4.68E+03 5.85E+04 2.81E+02 3.33E+02 4.25E+02 5.15E+02 5.69E+02 5.46E+02 4.96E+02 4.25E+02 3.22E+02 2.39E+02 1.91E+02 1.25E+02 7.79E+01 5.16E+01 3.57E+01 1.99E+01 1.49E+01 5.71E+00 2.96E+00 1.77E+00 7.14E-01 7.14E-01 7.14E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.987  7.67E+03 8.89E+03 1.16E+05 4.43E+02 6.14E+02 8.46E+02 9.58E+02 1.03E+03 1.02E+03 9.16E+02 7.78E+02 6.34E+02 4.64E+02 3.66E+02 2.71E+02 1.92E+02 1.21E+02 7.57E+01 6.29E+01 4.51E+01 2.36E+01 1.58E+01 1.11E+01 5.34E+00 2.86E+00 1.43E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  1.022  1.37E+04 1.54E+04 2.01E+05 6.33E+02 1.07E+03 1.46E+03 1.64E+03 1.84E+03 1.78E+03 1.60E+03 1.37E+03 1.14E+03 8.59E+02 6.29E+02 4.54E+02 3.27E+02 2.18E+02 1.37E+02 9.43E+01 6.45E+01 3.50E+01 2.15E+01 1.44E+01 7.48E+00 2.86E+00 1.43E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  1.055  2.47E+04 2.84E+04 3.82E+05 9.68E+02 1.84E+03 2.63E+03 3.04E+03 3.20E+03 3.15E+03 2.96E+03 2.58E+03 2.11E+03 1.70E+03 1.34E+03 9.64E+02 6.70E+02 4.61E+02 2.94E+02 1.93E+02 1.26E+02 7.07E+01 3.86E+01 2.26E+01 1.32E+01 7.56E+00 2.86E+00 2.14E+00 7.14E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  1.088  4.44E+04 5.03E+04 6.94E+05 1.74E+03 3.19E+03 4.40E+03 5.20E+03 5.57E+03 5.49E+03 5.14E+03 4.53E+03 3.81E+03 3.04E+03 2.41E+03 1.83E+03 1.33E+03 9.25E+02 6.31E+02 4.19E+02 2.63E+02 1.66E+02 1.01E+02 5.90E+01 3.07E+01 1.97E+01 1.07E+01 6.72E+00 2.14E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  1.119  7.89E+04 8.77E+04 1.23E+06 2.86E+03 5.50E+03 7.53E+03 8.91E+03 9.49E+03 9.48E+03 8.92E+03 7.90E+03 6.69E+03 5.34E+03 4.21E+03 3.21E+03 2.36E+03 1.70E+03 1.17E+03 7.91E+02 5.59E+02 3.75E+02 2.36E+02 1.55E+02 1.04E+02 6.61E+01 4.07E+01 2.86E+01 1.55E+01 1.07E+01 7.14E+00 4.29E+00 5.71E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  1.150  1.40E+05 1.58E+05 2.27E+06 4.77E+03 9.39E+03 1.30E+04 1.56E+04 1.67E+04 1.69E+04 1.60E+04 1.43E+04 1.21E+04 1.00E+04 7.88E+03 6.04E+03 4.52E+03 3.26E+03 2.30E+03 1.60E+03 1.12E+03 7.72E+02 5.24E+02 3.50E+02 2.16E+02 1.53E+02 1.03E+02 6.71E+01 4.26E+01 2.71E+01 1.36E+01 9.29E+00 6.43E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  1.180  2.48E+05 2.72E+05 3.96E+06 8.17E+03 1.56E+04 2.19E+04 2.61E+04 2.83E+04 2.85E+04 2.72E+04 2.46E+04 2.13E+04 1.74E+04 1.41E+04 1.10E+04 8.24E+03 6.00E+03 4.31E+03 3.01E+03 2.05E+03 1.41E+03 9.30E+02 6.28E+02 3.93E+02 2.54E+02 1.62E+02 1.06E+02 5.84E+01 3.29E+01 1.86E+01 1.21E+01 6.43E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  1.238  8.01E+05 8.34E+05 1.26E+07 2.35E+04 4.53E+04 6.36E+04 7.62E+04 8.30E+04 8.45E+04 8.14E+04 7.45E+04 6.55E+04 5.52E+04 4.50E+04 3.59E+04 2.77E+04 2.10E+04 1.55E+04 1.12E+04 7.96E+03 5.67E+03 3.97E+03 2.69E+03 1.76E+03 1.17E+03 7.57E+02 5.01E+02 3.09E+02 2.33E+02 1.25E+02 6.79E+01 6.36E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  1.293  2.47E+06 2.50E+06 3.92E+07 6.72E+04 1.28E+05 1.80E+05 2.17E+05 2.38E+05 2.45E+05 2.38E+05 2.22E+05 1.98E+05 1.70E+05 1.42E+05 1.15E+05 9.03E+04 6.95E+04 5.21E+04 3.84E+04 2.79E+04 2.00E+04 1.41E+04 9.90E+03 6.86E+03 4.74E+03 3.23E+03 2.24E+03 1.51E+03 1.16E+03 7.29E+02 4.80E+02 5.20E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  1.345  7.39E+06 7.34E+06 1.19E+08 1.85E+05 3.55E+05 4.98E+05 6.05E+05 6.71E+05 6.97E+05 6.84E+05 6.43E+05 5.80E+05 5.06E+05 4.27E+05 3.51E+05 2.81E+05 2.21E+05 1.70E+05 1.29E+05 9.57E+04 7.04E+04 5.13E+04 3.71E+04 2.63E+04 1.86E+04 1.30E+04 9.03E+03 6.17E+03 4.85E+03 3.06E+03 1.97E+03 2.08E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  1.396  2.17E+07 2.12E+07 3.54E+08 5.06E+05 9.72E+05 1.37E+06 1.67E+06 1.86E+06 1.95E+06 1.93E+06 1.83E+06 1.68E+06 1.48E+06 1.27E+06 1.06E+06 8.63E+05 6.88E+05 5.37E+05 4.12E+05 3.11E+05 2.32E+05 1.71E+05 1.25E+05 9.00E+04 6.45E+04 4.57E+04 3.24E+04 2.27E+04 1.95E+04 1.28E+04 8.64E+03 9.91E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
