                    *********************************************************************************
                    *  Z= 71 A=177: Positive-Parity Spin-dependent Level Density [MeV-1] for LU177  *
   2.25  0.374  7.90E+01 1.76E+02 2.04E+03 8.19E+00 1.34E+01 1.86E+01 2.26E+01 2.52E+01 2.31E+01 2.20E+01 1.65E+01 9.43E+00 5.49E+00 3.91E+00 3.03E+00 2.84E+00 1.06E+00 5.30E-01 5.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.394  1.32E+02 2.47E+02 2.86E+03 1.14E+01 2.16E+01 2.76E+01 3.06E+01 3.21E+01 2.95E+01 2.86E+01 2.53E+01 1.56E+01 8.67E+00 6.08E+00 4.99E+00 2.84E+00 1.59E+00 5.30E-01 5.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.413  2.14E+02 4.05E+02 4.94E+03 1.34E+01 2.87E+01 3.88E+01 5.30E+01 5.48E+01 5.12E+01 4.24E+01 3.65E+01 3.07E+01 2.30E+01 1.32E+01 8.70E+00 4.96E+00 2.65E+00 1.59E+00 5.30E-01 5.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.432  3.34E+02 5.59E+02 6.96E+03 2.01E+01 4.05E+01 5.06E+01 6.57E+01 6.68E+01 7.45E+01 6.43E+01 5.20E+01 3.87E+01 3.15E+01 2.50E+01 1.37E+01 7.79E+00 3.71E+00 2.65E+00 5.30E-01 5.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.449  5.16E+02 8.99E+02 1.13E+04 3.48E+01 6.46E+01 8.51E+01 1.03E+02 1.09E+02 1.08E+02 9.81E+01 8.59E+01 6.60E+01 4.57E+01 4.00E+01 2.89E+01 1.43E+01 7.61E+00 3.21E+00 2.84E+00 5.30E-01 5.30E-01 3.72E-03 1.84E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.466  7.90E+02 1.29E+03 1.62E+04 4.50E+01 8.90E+01 1.25E+02 1.50E+02 1.70E+02 1.58E+02 1.37E+02 1.16E+02 9.12E+01 7.31E+01 5.25E+01 3.95E+01 2.22E+01 1.01E+01 5.87E+00 3.40E+00 1.24E+00 5.30E-01 3.72E-03 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.483  1.23E+03 2.20E+03 2.78E+04 8.38E+01 1.55E+02 2.09E+02 2.58E+02 2.81E+02 2.64E+02 2.41E+02 1.90E+02 1.51E+02 1.23E+02 9.63E+01 6.20E+01 4.26E+01 2.29E+01 1.12E+01 5.70E+00 3.91E+00 1.26E+00 7.18E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.499  1.90E+03 3.19E+03 4.04E+04 1.22E+02 2.28E+02 3.06E+02 3.71E+02 3.97E+02 3.87E+02 3.34E+02 2.85E+02 2.20E+02 1.71E+02 1.34E+02 9.52E+01 6.30E+01 3.83E+01 1.93E+01 9.07E+00 4.52E+00 2.32E+00 1.43E+00 1.24E+00 5.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.514  2.99E+03 5.53E+03 7.09E+04 1.95E+02 3.79E+02 5.20E+02 6.42E+02 6.96E+02 6.69E+02 5.80E+02 4.91E+02 3.86E+02 3.05E+02 2.30E+02 1.62E+02 1.14E+02 7.32E+01 4.07E+01 2.18E+01 1.13E+01 5.76E+00 3.92E+00 1.24E+00 5.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.529  4.66E+03 7.86E+03 1.02E+05 2.67E+02 5.28E+02 7.23E+02 9.04E+02 9.60E+02 9.52E+02 8.48E+02 7.08E+02 5.66E+02 4.40E+02 3.33E+02 2.32E+02 1.60E+02 1.05E+02 5.74E+01 3.40E+01 1.82E+01 9.31E+00 6.15E+00 2.71E+00 1.43E+00 5.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.543  7.24E+03 1.27E+04 1.69E+05 4.08E+02 8.10E+02 1.13E+03 1.39E+03 1.51E+03 1.52E+03 1.39E+03 1.21E+03 9.60E+02 7.49E+02 5.67E+02 4.05E+02 2.76E+02 1.83E+02 1.06E+02 6.54E+01 3.64E+01 1.85E+01 9.70E+00 5.71E+00 2.49E+00 5.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.557  1.10E+04 1.77E+04 2.37E+05 5.62E+02 1.11E+03 1.58E+03 1.94E+03 2.07E+03 2.05E+03 1.89E+03 1.68E+03 1.37E+03 1.06E+03 8.08E+02 5.80E+02 3.94E+02 2.63E+02 1.68E+02 9.95E+01 5.45E+01 2.90E+01 1.52E+01 8.04E+00 3.59E+00 7.14E-01 5.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.585  2.53E+04 3.92E+04 5.31E+05 1.23E+03 2.42E+03 3.42E+03 4.18E+03 4.51E+03 4.47E+03 4.11E+03 3.65E+03 2.98E+03 2.46E+03 1.92E+03 1.37E+03 9.37E+02 6.36E+02 3.87E+02 2.49E+02 1.45E+02 7.40E+01 4.00E+01 2.28E+01 9.65E+00 3.37E+00 5.69E-01 1.84E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.611  5.73E+04 8.87E+04 1.21E+06 2.76E+03 5.50E+03 7.73E+03 9.41E+03 1.01E+04 1.00E+04 9.14E+03 8.11E+03 6.69E+03 5.49E+03 4.31E+03 3.21E+03 2.30E+03 1.52E+03 9.64E+02 6.08E+02 3.57E+02 1.93E+02 1.19E+02 6.09E+01 3.04E+01 1.17E+01 4.82E+00 1.43E+00 5.78E-01 7.14E-01 1.92E-02 1.84E-01 1.84E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.636  1.29E+05 2.00E+05 2.76E+06 6.08E+03 1.20E+04 1.69E+04 2.07E+04 2.24E+04 2.23E+04 2.07E+04 1.85E+04 1.53E+04 1.25E+04 9.86E+03 7.30E+03 5.27E+03 3.74E+03 2.38E+03 1.52E+03 9.54E+02 5.24E+02 3.20E+02 1.89E+02 9.12E+01 4.75E+01 2.24E+01 9.59E+00 5.37E+00 2.85E+00 1.28E+00 1.61E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.660  2.89E+05 4.39E+05 6.19E+06 1.29E+04 2.56E+04 3.61E+04 4.42E+04 4.81E+04 4.83E+04 4.54E+04 4.09E+04 3.42E+04 2.83E+04 2.24E+04 1.67E+04 1.22E+04 8.68E+03 5.75E+03 3.82E+03 2.41E+03 1.39E+03 8.53E+02 4.95E+02 2.81E+02 1.48E+02 7.47E+01 4.29E+01 2.15E+01 1.19E+01 8.22E+00 3.04E+00 2.14E+00 5.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.683  6.35E+05 9.45E+05 1.35E+07 2.74E+04 5.44E+04 7.62E+04 9.24E+04 1.01E+05 1.02E+05 9.68E+04 8.79E+04 7.41E+04 6.18E+04 4.98E+04 3.75E+04 2.76E+04 1.97E+04 1.32E+04 8.92E+03 5.91E+03 3.40E+03 2.15E+03 1.27E+03 7.44E+02 4.17E+02 2.21E+02 1.29E+02 7.26E+01 4.25E+01 2.08E+01 1.24E+01 5.88E+00 5.30E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.705  1.38E+06 2.04E+06 2.94E+07 5.84E+04 1.16E+05 1.62E+05 1.96E+05 2.15E+05 2.18E+05 2.07E+05 1.87E+05 1.58E+05 1.33E+05 1.09E+05 8.27E+04 6.17E+04 4.47E+04 3.02E+04 2.07E+04 1.37E+04 8.28E+03 5.23E+03 3.22E+03 1.89E+03 1.10E+03 6.12E+02 3.56E+02 2.22E+02 1.10E+02 6.03E+01 3.36E+01 1.81E+01 5.84E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.727  2.98E+06 4.37E+06 6.39E+07 1.23E+05 2.44E+05 3.41E+05 4.15E+05 4.57E+05 4.64E+05 4.43E+05 4.01E+05 3.42E+05 2.88E+05 2.36E+05 1.81E+05 1.36E+05 1.00E+05 6.89E+04 4.77E+04 3.22E+04 1.95E+04 1.29E+04 7.97E+03 4.80E+03 2.87E+03 1.68E+03 1.02E+03 6.08E+02 3.05E+02 1.80E+02 9.64E+01 6.66E+01 1.96E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.748  6.40E+06 9.29E+06 1.37E+08 2.56E+05 5.07E+05 7.10E+05 8.65E+05 9.58E+05 9.75E+05 9.36E+05 8.52E+05 7.30E+05 6.18E+05 5.11E+05 3.92E+05 2.97E+05 2.22E+05 1.55E+05 1.09E+05 7.42E+04 4.60E+04 3.08E+04 1.96E+04 1.20E+04 7.42E+03 4.46E+03 2.80E+03 1.66E+03 8.88E+02 5.23E+02 3.06E+02 1.98E+02 7.64E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.768  1.36E+07 1.95E+07 2.92E+08 5.26E+05 1.04E+06 1.46E+06 1.78E+06 1.98E+06 2.02E+06 1.95E+06 1.78E+06 1.54E+06 1.31E+06 1.09E+06 8.44E+05 6.44E+05 4.84E+05 3.41E+05 2.44E+05 1.68E+05 1.06E+05 7.16E+04 4.63E+04 2.92E+04 1.84E+04 1.13E+04 7.10E+03 4.39E+03 2.45E+03 1.46E+03 8.60E+02 5.76E+02 2.37E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.788  2.86E+07 4.07E+07 6.15E+08 1.08E+06 2.14E+06 3.00E+06 3.66E+06 4.07E+06 4.17E+06 4.02E+06 3.70E+06 3.20E+06 2.75E+06 2.30E+06 1.79E+06 1.38E+06 1.05E+06 7.42E+05 5.35E+05 3.75E+05 2.40E+05 1.64E+05 1.07E+05 6.89E+04 4.42E+04 2.76E+04 1.78E+04 1.11E+04 6.32E+03 3.87E+03 2.24E+03 1.57E+03 6.62E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.827  1.36E+08 1.74E+08 2.68E+09 4.47E+06 8.86E+06 1.25E+07 1.52E+07 1.70E+07 1.75E+07 1.70E+07 1.57E+07 1.37E+07 1.18E+07 1.00E+07 7.89E+06 6.16E+06 4.75E+06 3.44E+06 2.53E+06 1.80E+06 1.18E+06 8.29E+05 5.58E+05 3.68E+05 2.43E+05 1.58E+05 1.05E+05 6.74E+04 3.98E+04 2.51E+04 1.51E+04 1.07E+04 4.87E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.864  5.84E+08 7.23E+08 1.14E+10 1.80E+07 3.57E+07 5.03E+07 6.16E+07 6.89E+07 7.12E+07 6.95E+07 6.48E+07 5.69E+07 4.96E+07 4.23E+07 3.37E+07 2.66E+07 2.08E+07 1.53E+07 1.14E+07 8.30E+06 5.55E+06 3.98E+06 2.74E+06 1.85E+06 1.26E+06 8.36E+05 5.70E+05 3.77E+05 2.31E+05 1.50E+05 9.23E+04 6.67E+04 3.20E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.899  2.41E+09 2.94E+09 4.70E+10 7.11E+07 1.41E+08 1.99E+08 2.44E+08 2.74E+08 2.84E+08 2.79E+08 2.61E+08 2.31E+08 2.02E+08 1.74E+08 1.40E+08 1.12E+08 8.84E+07 6.58E+07 4.99E+07 3.68E+07 2.51E+07 1.83E+07 1.28E+07 8.86E+06 6.14E+06 4.18E+06 2.92E+06 1.98E+06 1.24E+06 8.26E+05 5.16E+05 3.80E+05 1.88E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.933  9.72E+09 1.17E+10 1.90E+11 2.75E+08 5.46E+08 7.71E+08 9.49E+08 1.07E+09 1.11E+09 1.09E+09 1.03E+09 9.15E+08 8.08E+08 7.00E+08 5.68E+08 4.58E+08 3.65E+08 2.75E+08 2.11E+08 1.58E+08 1.09E+08 8.10E+07 5.78E+07 4.07E+07 2.87E+07 1.99E+07 1.42E+07 9.79E+06 6.31E+06 4.29E+06 2.72E+06 2.03E+06 1.03E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.966  2.62E+10 2.13E+10 3.51E+11 4.86E+08 9.65E+08 1.38E+09 1.74E+09 1.93E+09 2.01E+09 1.96E+09 1.87E+09 1.68E+09 1.49E+09 1.28E+09 1.05E+09 8.51E+08 6.82E+08 5.16E+08 3.96E+08 3.00E+08 2.07E+08 1.55E+08 1.12E+08 7.93E+07 5.62E+07 3.93E+07 2.81E+07 1.96E+07 1.27E+07 8.72E+06 5.59E+06 4.14E+06 2.14E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
