                    *********************************************************************************
                    *  Z= 55 A=135: Positive-Parity Spin-dependent Level Density [MeV-1] for CS135  *
   2.25  0.428  4.60E+01 1.19E+02 1.01E+03 2.14E+01 1.91E+01 1.75E+01 1.50E+01 1.14E+01 1.00E+01 6.43E+00 7.14E+00 4.78E+00 2.14E+00 2.14E+00 1.43E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.451  8.10E+01 1.56E+02 1.40E+03 2.24E+01 2.34E+01 2.32E+01 2.00E+01 1.50E+01 1.57E+01 1.14E+01 9.29E+00 6.21E+00 3.57E+00 2.86E+00 2.14E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.473  1.24E+02 1.87E+02 1.67E+03 2.39E+01 2.54E+01 3.04E+01 2.57E+01 2.14E+01 2.00E+01 1.43E+01 1.00E+01 6.21E+00 3.57E+00 2.86E+00 2.14E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.494  1.73E+02 2.09E+02 1.88E+03 2.54E+01 2.61E+01 3.32E+01 2.93E+01 2.93E+01 2.36E+01 1.50E+01 1.00E+01 6.21E+00 5.00E+00 2.86E+00 2.14E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.515  2.39E+02 3.21E+02 2.93E+03 4.18E+01 4.11E+01 4.76E+01 4.79E+01 3.71E+01 3.79E+01 2.07E+01 1.86E+01 9.07E+00 7.14E+00 5.00E+00 4.29E+00 1.43E+00 7.14E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.534  3.30E+02 4.09E+02 3.97E+03 3.54E+01 4.64E+01 6.40E+01 6.72E+01 5.00E+01 4.36E+01 3.36E+01 2.71E+01 1.36E+01 1.14E+01 7.86E+00 5.00E+00 1.43E+00 1.43E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.553  4.52E+02 5.61E+02 5.45E+03 4.18E+01 6.14E+01 9.05E+01 1.01E+02 7.14E+01 6.07E+01 4.36E+01 3.29E+01 2.14E+01 1.50E+01 8.57E+00 5.71E+00 3.57E+00 2.14E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.571  6.15E+02 7.43E+02 7.22E+03 5.79E+01 8.79E+01 1.18E+02 1.16E+02 1.04E+02 8.36E+01 5.50E+01 4.29E+01 3.00E+01 2.21E+01 1.00E+01 7.86E+00 5.00E+00 2.86E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.588  8.70E+02 1.30E+03 1.34E+04 9.50E+01 1.54E+02 1.82E+02 1.74E+02 1.68E+02 1.47E+02 1.18E+02 9.29E+01 6.07E+01 4.43E+01 2.57E+01 1.86E+01 9.29E+00 5.71E+00 1.43E+00 7.14E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.606  1.28E+03 1.99E+03 2.16E+04 1.05E+02 2.06E+02 2.71E+02 2.87E+02 2.54E+02 2.31E+02 1.91E+02 1.53E+02 1.02E+02 7.64E+01 4.86E+01 3.36E+01 1.71E+01 1.07E+01 4.29E+00 2.14E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.622  2.01E+03 3.85E+03 4.54E+04 1.95E+02 3.50E+02 4.44E+02 4.76E+02 4.69E+02 4.69E+02 3.71E+02 3.04E+02 2.35E+02 1.82E+02 1.27E+02 9.00E+01 5.36E+01 3.43E+01 1.79E+01 1.21E+01 7.14E+00 5.00E+00 1.43E+00 2.14E+00 7.14E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.638  3.24E+03 6.01E+03 7.59E+04 2.80E+02 4.87E+02 5.84E+02 6.93E+02 7.36E+02 6.87E+02 5.89E+02 5.01E+02 4.03E+02 3.26E+02 2.28E+02 1.68E+02 1.16E+02 8.07E+01 5.29E+01 3.50E+01 2.07E+01 1.14E+01 6.43E+00 4.29E+00 1.43E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.669  7.34E+03 1.04E+04 1.30E+05 4.19E+02 8.04E+02 1.11E+03 1.27E+03 1.23E+03 1.16E+03 1.03E+03 8.78E+02 6.93E+02 5.53E+02 4.18E+02 3.00E+02 1.96E+02 1.31E+02 8.29E+01 4.93E+01 2.64E+01 1.43E+01 8.57E+00 5.00E+00 2.14E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.699  1.47E+04 1.91E+04 2.42E+05 8.69E+02 1.52E+03 1.91E+03 2.18E+03 2.26E+03 2.15E+03 1.87E+03 1.62E+03 1.34E+03 1.04E+03 7.48E+02 5.55E+02 3.79E+02 2.58E+02 1.58E+02 1.01E+02 5.50E+01 3.50E+01 1.86E+01 1.29E+01 5.00E+00 3.57E+00 7.14E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.728  2.90E+04 3.81E+04 4.91E+05 1.56E+03 2.89E+03 3.82E+03 4.32E+03 4.36E+03 4.28E+03 3.83E+03 3.28E+03 2.63E+03 2.13E+03 1.61E+03 1.20E+03 8.14E+02 5.47E+02 3.43E+02 2.09E+02 1.23E+02 7.00E+01 3.71E+01 2.14E+01 1.07E+01 5.71E+00 2.14E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.755  5.94E+04 8.36E+04 1.13E+06 3.01E+03 5.67E+03 7.72E+03 9.01E+03 9.43E+03 9.20E+03 8.36E+03 7.35E+03 6.18E+03 5.02E+03 3.86E+03 2.91E+03 2.08E+03 1.45E+03 9.36E+02 6.04E+02 3.59E+02 2.16E+02 1.18E+02 6.79E+01 3.64E+01 2.00E+01 8.57E+00 4.29E+00 1.43E+00 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.782  1.32E+05 2.07E+05 3.01E+06 6.47E+03 1.23E+04 1.69E+04 1.99E+04 2.13E+04 2.15E+04 2.03E+04 1.83E+04 1.59E+04 1.35E+04 1.09E+04 8.58E+03 6.44E+03 4.81E+03 3.40E+03 2.36E+03 1.55E+03 1.03E+03 6.45E+02 4.03E+02 2.34E+02 1.40E+02 7.57E+01 4.43E+01 2.43E+01 1.36E+01 7.14E+00 5.00E+00 3.57E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.807  2.87E+05 4.13E+05 6.20E+06 1.21E+04 2.30E+04 3.19E+04 3.80E+04 4.09E+04 4.15E+04 3.98E+04 3.67E+04 3.23E+04 2.75E+04 2.26E+04 1.82E+04 1.40E+04 1.06E+04 7.69E+03 5.48E+03 3.80E+03 2.59E+03 1.70E+03 1.11E+03 6.92E+02 4.21E+02 2.48E+02 1.44E+02 7.79E+01 4.07E+01 2.14E+01 1.14E+01 7.86E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.832  5.73E+05 7.30E+05 1.09E+07 2.15E+04 4.08E+04 5.58E+04 6.65E+04 7.25E+04 7.41E+04 7.10E+04 6.51E+04 5.74E+04 4.92E+04 4.03E+04 3.22E+04 2.47E+04 1.86E+04 1.34E+04 9.49E+03 6.44E+03 4.35E+03 2.79E+03 1.78E+03 1.08E+03 6.59E+02 3.68E+02 2.09E+02 1.11E+02 6.00E+01 2.93E+01 1.64E+01 1.14E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.856  1.13E+06 1.48E+06 2.28E+07 4.02E+04 7.74E+04 1.08E+05 1.30E+05 1.42E+05 1.46E+05 1.42E+05 1.32E+05 1.18E+05 1.02E+05 8.48E+04 6.87E+04 5.35E+04 4.05E+04 2.98E+04 2.15E+04 1.49E+04 1.02E+04 6.75E+03 4.43E+03 2.80E+03 1.73E+03 1.03E+03 6.05E+02 3.44E+02 1.93E+02 1.02E+02 5.43E+01 4.79E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.880  2.25E+06 3.00E+06 4.72E+07 7.86E+04 1.50E+05 2.09E+05 2.54E+05 2.80E+05 2.89E+05 2.83E+05 2.66E+05 2.41E+05 2.11E+05 1.77E+05 1.45E+05 1.15E+05 8.89E+04 6.63E+04 4.81E+04 3.39E+04 2.34E+04 1.55E+04 1.01E+04 6.37E+03 3.92E+03 2.31E+03 1.33E+03 7.34E+02 3.98E+02 2.04E+02 1.03E+02 8.00E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.903  4.61E+06 6.47E+06 1.06E+08 1.55E+05 2.99E+05 4.21E+05 5.12E+05 5.70E+05 5.97E+05 5.94E+05 5.66E+05 5.19E+05 4.61E+05 3.96E+05 3.32E+05 2.69E+05 2.13E+05 1.64E+05 1.23E+05 8.97E+04 6.41E+04 4.46E+04 3.05E+04 2.02E+04 1.31E+04 8.30E+03 5.16E+03 3.11E+03 1.87E+03 1.10E+03 6.19E+02 7.10E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.947  1.99E+07 2.42E+07 4.12E+08 5.34E+05 1.03E+06 1.46E+06 1.79E+06 2.02E+06 2.14E+06 2.15E+06 2.08E+06 1.94E+06 1.75E+06 1.53E+06 1.30E+06 1.07E+06 8.67E+05 6.81E+05 5.23E+05 3.92E+05 2.88E+05 2.06E+05 1.45E+05 9.95E+04 6.70E+04 4.40E+04 2.84E+04 1.79E+04 1.11E+04 6.82E+03 4.11E+03 5.18E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.989  7.93E+07 9.46E+07 1.67E+09 1.93E+06 3.73E+06 5.30E+06 6.56E+06 7.46E+06 7.98E+06 8.13E+06 7.97E+06 7.53E+06 6.90E+06 6.14E+06 5.31E+06 4.48E+06 3.69E+06 2.96E+06 2.32E+06 1.78E+06 1.33E+06 9.76E+05 7.00E+05 4.91E+05 3.38E+05 2.27E+05 1.50E+05 9.60E+04 6.06E+04 3.85E+04 2.31E+04 2.83E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  1.029  3.14E+08 3.74E+08 6.96E+09 6.89E+06 1.34E+07 1.91E+07 2.38E+07 2.74E+07 2.96E+07 3.05E+07 3.03E+07 2.91E+07 2.71E+07 2.46E+07 2.17E+07 1.87E+07 1.58E+07 1.30E+07 1.05E+07 8.33E+06 6.47E+06 4.93E+06 3.69E+06 2.71E+06 1.96E+06 1.40E+06 9.77E+05 6.72E+05 4.57E+05 3.21E+05 2.17E+05 3.18E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  1.068  1.18E+09 1.35E+09 2.58E+10 2.36E+07 4.59E+07 6.58E+07 8.24E+07 9.50E+07 1.03E+08 1.07E+08 1.08E+08 1.04E+08 9.80E+07 8.98E+07 8.02E+07 6.99E+07 5.96E+07 4.97E+07 4.06E+07 3.25E+07 2.55E+07 1.96E+07 1.49E+07 1.10E+07 8.03E+06 5.74E+06 4.04E+06 2.79E+06 1.90E+06 1.34E+06 8.96E+05 1.29E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  1.106  3.06E+09 2.41E+09 4.67E+10 4.05E+07 7.89E+07 1.13E+08 1.42E+08 1.65E+08 1.80E+08 1.88E+08 1.89E+08 1.84E+08 1.74E+08 1.60E+08 1.44E+08 1.27E+08 1.09E+08 9.14E+07 7.54E+07 6.09E+07 4.83E+07 3.75E+07 2.86E+07 2.15E+07 1.58E+07 1.14E+07 8.12E+06 5.68E+06 3.90E+06 2.81E+06 1.90E+06 2.76E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
