                    *********************************************************************************
                    *  Z= 45 A=104: Positive-Parity Spin-dependent Level Density [MeV-1] for RH104  *
   2.25  0.488  1.35E+02 2.07E+02 1.63E+03 2.91E+01 2.04E+01 3.06E+01 3.03E+01 3.21E+01 1.98E+01 1.95E+01 1.28E+01 5.97E+00 4.72E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.514  1.98E+02 3.00E+02 2.38E+03 4.45E+01 2.59E+01 4.73E+01 4.34E+01 4.28E+01 3.39E+01 2.49E+01 1.59E+01 1.05E+01 7.82E+00 2.26E+00 0.00E+00 7.18E-02 5.93E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.539  2.99E+02 5.08E+02 4.17E+03 5.63E+01 5.20E+01 8.26E+01 7.12E+01 7.43E+01 6.05E+01 4.03E+01 3.11E+01 2.20E+01 1.17E+01 3.94E+00 3.00E-01 6.65E-01 7.14E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.563  4.51E+02 7.07E+02 5.95E+03 6.63E+01 6.61E+01 1.15E+02 1.08E+02 1.09E+02 8.31E+01 6.58E+01 4.07E+01 2.86E+01 1.39E+01 6.57E+00 2.32E+00 8.65E-01 1.31E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.586  6.85E+02 1.17E+03 9.91E+03 1.18E+02 9.34E+01 1.83E+02 1.72E+02 1.88E+02 1.50E+02 1.02E+02 7.24E+01 4.09E+01 2.74E+01 1.04E+01 3.53E+00 2.77E+00 2.02E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.608  1.03E+03 1.59E+03 1.38E+04 1.39E+02 1.26E+02 2.53E+02 2.38E+02 2.71E+02 2.02E+02 1.39E+02 9.99E+01 6.45E+01 3.43E+01 1.45E+01 5.91E+00 4.02E+00 3.80E+00 5.93E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.630  1.54E+03 2.46E+03 2.19E+04 1.81E+02 1.88E+02 3.81E+02 3.81E+02 4.13E+02 3.08E+02 2.31E+02 1.54E+02 1.15E+02 5.32E+01 2.25E+01 1.51E+01 7.54E+00 4.88E+00 8.36E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.650  2.26E+03 3.33E+03 3.00E+04 2.18E+02 2.63E+02 5.33E+02 4.95E+02 5.69E+02 4.06E+02 3.21E+02 2.21E+02 1.44E+02 7.77E+01 3.74E+01 2.57E+01 1.18E+01 5.84E+00 1.43E+00 5.93E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.670  3.32E+03 5.19E+03 4.74E+04 3.84E+02 3.64E+02 8.09E+02 7.85E+02 8.09E+02 6.47E+02 5.23E+02 3.51E+02 2.39E+02 1.21E+02 7.69E+01 4.33E+01 2.41E+01 9.16E+00 3.45E+00 1.19E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.690  4.86E+03 7.08E+03 6.58E+04 4.82E+02 5.00E+02 1.12E+03 1.00E+03 1.15E+03 8.59E+02 7.06E+02 4.98E+02 3.33E+02 1.90E+02 1.16E+02 6.32E+01 3.48E+01 1.84E+01 6.78E+00 1.90E+00 9.65E-01 5.93E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.709  7.13E+03 1.11E+04 1.05E+05 7.25E+02 7.46E+02 1.75E+03 1.54E+03 1.72E+03 1.37E+03 1.14E+03 7.90E+02 5.43E+02 3.34E+02 2.02E+02 1.27E+02 6.34E+01 2.73E+01 1.46E+01 7.60E+00 1.56E+00 5.93E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.727  1.04E+04 1.53E+04 1.47E+05 9.96E+02 1.04E+03 2.37E+03 2.07E+03 2.35E+03 1.89E+03 1.55E+03 1.08E+03 7.77E+02 4.76E+02 3.11E+02 1.91E+02 9.57E+01 4.44E+01 2.44E+01 1.26E+01 2.27E+00 1.99E+00 1.19E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.763  2.26E+04 3.34E+04 3.28E+05 2.05E+03 2.24E+03 5.06E+03 4.44E+03 5.15E+03 4.00E+03 3.41E+03 2.39E+03 1.80E+03 1.17E+03 7.40E+02 4.56E+02 2.40E+02 1.43E+02 7.26E+01 2.97E+01 9.75E+00 9.69E+00 3.03E+00 5.93E-01 1.90E-01 5.93E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.797  4.90E+04 7.21E+04 7.22E+05 4.23E+03 4.61E+03 1.08E+04 9.42E+03 1.11E+04 8.69E+03 7.32E+03 5.32E+03 3.98E+03 2.65E+03 1.71E+03 1.05E+03 6.01E+02 3.53E+02 1.85E+02 9.92E+01 4.03E+01 2.16E+01 8.96E+00 4.82E+00 1.34E+00 1.19E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.829  1.05E+05 1.52E+05 1.54E+06 8.39E+03 9.46E+03 2.23E+04 1.95E+04 2.33E+04 1.82E+04 1.57E+04 1.15E+04 8.52E+03 5.69E+03 3.75E+03 2.38E+03 1.43E+03 8.49E+02 4.66E+02 2.48E+02 1.20E+02 6.46E+01 2.50E+01 8.97E+00 7.86E+00 2.96E+00 5.93E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.860  2.21E+05 3.14E+05 3.24E+06 1.69E+04 1.91E+04 4.52E+04 3.96E+04 4.76E+04 3.77E+04 3.28E+04 2.39E+04 1.79E+04 1.21E+04 8.15E+03 5.32E+03 3.26E+03 1.99E+03 1.13E+03 6.49E+02 3.19E+02 1.56E+02 7.89E+01 4.10E+01 2.01E+01 7.11E+00 5.93E-01 1.19E+00 5.93E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.891  4.60E+05 6.42E+05 6.73E+06 3.44E+04 3.84E+04 9.05E+04 7.96E+04 9.57E+04 7.65E+04 6.73E+04 4.94E+04 3.75E+04 2.54E+04 1.78E+04 1.17E+04 7.34E+03 4.60E+03 2.79E+03 1.47E+03 7.49E+02 4.18E+02 2.15E+02 1.11E+02 6.70E+01 2.55E+01 8.30E+00 5.34E+00 9.99E-01 1.19E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.920  9.49E+05 1.31E+06 1.39E+07 6.88E+04 7.69E+04 1.83E+05 1.61E+05 1.93E+05 1.55E+05 1.37E+05 1.01E+05 7.83E+04 5.39E+04 3.78E+04 2.57E+04 1.64E+04 1.06E+04 6.20E+03 3.23E+03 1.80E+03 1.01E+03 5.74E+02 3.30E+02 1.59E+02 7.11E+01 4.15E+01 2.10E+01 8.11E+00 4.47E+00 5.93E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.948  1.94E+06 2.67E+06 2.87E+07 1.37E+05 1.53E+05 3.66E+05 3.23E+05 3.90E+05 3.13E+05 2.78E+05 2.07E+05 1.62E+05 1.13E+05 8.03E+04 5.49E+04 3.57E+04 2.35E+04 1.27E+04 7.04E+03 4.18E+03 2.53E+03 1.41E+03 7.96E+02 4.31E+02 2.18E+02 1.16E+02 6.37E+01 2.29E+01 1.34E+01 7.71E+00 1.19E+00 3.28E-01 5.93E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.976  3.95E+06 5.37E+06 5.83E+07 2.72E+05 3.03E+05 7.28E+05 6.43E+05 7.79E+05 6.27E+05 5.62E+05 4.21E+05 3.31E+05 2.33E+05 1.67E+05 1.16E+05 7.67E+04 4.65E+04 2.55E+04 1.55E+04 9.57E+03 5.85E+03 3.40E+03 1.95E+03 1.05E+03 5.96E+02 3.15E+02 1.66E+02 8.12E+01 4.48E+01 1.90E+01 7.69E+00 2.70E+00 5.93E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  1.002  7.97E+06 1.07E+07 1.17E+08 5.35E+05 5.95E+05 1.43E+06 1.27E+06 1.54E+06 1.25E+06 1.12E+06 8.46E+05 6.68E+05 4.74E+05 3.44E+05 2.41E+05 1.61E+05 9.08E+04 5.28E+04 3.34E+04 2.13E+04 1.33E+04 7.96E+03 4.65E+03 2.66E+03 1.49E+03 7.98E+02 4.16E+02 2.22E+02 1.22E+02 5.75E+01 2.73E+01 1.04E+01 4.74E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  1.028  1.59E+07 2.11E+07 2.33E+08 1.04E+06 1.16E+06 2.80E+06 2.48E+06 3.03E+06 2.46E+06 2.23E+06 1.68E+06 1.34E+06 9.55E+05 6.99E+05 4.94E+05 3.00E+05 1.70E+05 1.08E+05 7.14E+04 4.66E+04 2.97E+04 1.83E+04 1.10E+04 6.43E+03 3.58E+03 1.96E+03 1.10E+03 5.86E+02 3.08E+02 1.55E+02 7.59E+01 4.09E+01 2.79E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  1.079  6.67E+07 8.04E+07 8.95E+08 3.91E+06 4.30E+06 1.05E+07 9.29E+06 1.14E+07 9.32E+06 8.55E+06 6.52E+06 5.26E+06 3.80E+06 2.82E+06 1.67E+06 9.94E+05 6.51E+05 4.49E+05 3.13E+05 2.14E+05 1.42E+05 9.15E+04 5.71E+04 3.44E+04 2.04E+04 1.18E+04 6.69E+03 3.65E+03 2.00E+03 1.09E+03 6.24E+02 3.17E+02 3.12E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  1.127  2.54E+08 2.94E+08 3.26E+09 1.43E+07 1.57E+07 3.84E+07 3.41E+07 4.23E+07 3.46E+07 3.20E+07 2.46E+07 2.01E+07 1.33E+07 8.06E+06 5.02E+06 3.44E+06 2.47E+06 1.81E+06 1.31E+06 9.28E+05 6.36E+05 4.24E+05 2.74E+05 1.72E+05 1.06E+05 6.30E+04 3.71E+04 2.13E+04 1.22E+04 6.78E+03 3.71E+03 2.07E+03 2.33E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  1.173  9.13E+08 1.02E+09 1.11E+10 5.12E+07 5.58E+07 1.37E+08 1.22E+08 1.53E+08 1.26E+08 1.17E+08 8.49E+07 5.69E+07 3.43E+07 2.29E+07 1.61E+07 1.22E+07 9.29E+06 7.08E+06 5.27E+06 3.83E+06 2.70E+06 1.86E+06 1.24E+06 8.05E+05 5.10E+05 3.16E+05 1.92E+05 1.14E+05 6.66E+04 3.81E+04 2.18E+04 1.23E+04 1.48E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  1.217  3.01E+09 3.18E+09 3.35E+10 1.79E+08 1.95E+08 4.82E+08 4.30E+08 5.22E+08 3.59E+08 2.98E+08 1.91E+08 1.34E+08 8.98E+07 6.94E+07 5.36E+07 4.32E+07 3.42E+07 2.68E+07 2.04E+07 1.52E+07 1.10E+07 7.75E+06 5.32E+06 3.56E+06 2.32E+06 1.48E+06 9.25E+05 5.67E+05 3.42E+05 2.02E+05 1.18E+05 6.84E+04 8.68E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  1.260  6.89E+09 4.58E+09 4.79E+10 3.03E+08 3.28E+08 7.84E+08 6.27E+08 7.33E+08 4.06E+08 3.51E+08 2.34E+08 1.82E+08 1.32E+08 1.10E+08 8.88E+07 7.33E+07 5.89E+07 4.66E+07 3.60E+07 2.70E+07 1.97E+07 1.41E+07 9.77E+06 6.61E+06 4.37E+06 2.82E+06 1.79E+06 1.11E+06 6.78E+05 4.04E+05 2.39E+05 1.40E+05 1.81E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
